 conv1                                                                           0.466753s
 bn_conv1                                                                        0.4886s
 scale_conv1                                                                     0.24621s
 conv1_relu                                                                      0.024392s
 pool1                                                                           0.037271s
 pool1_pool1_0_split                                                             0.104568s
 res2a_branch1                                                                   0.213308s
 bn2a_branch1                                                                    0.431639s
 scale2a_branch1                                                                 0.138007s
 res2a_branch2a                                                                  0.204378s
 bn2a_branch2a                                                                   0.109691s
 scale2a_branch2a                                                                0.066146s
 res2a_branch2a_relu                                                             0.006206s
 res2a_branch2b                                                                  0.698211s
 bn2a_branch2b                                                                   0.109971s
 scale2a_branch2b                                                                0.06605s
 res2a_branch2b_relu                                                             0.006194s
 res2a_branch2c                                                                  0.212412s
 bn2a_branch2c                                                                   0.431393s
 scale2a_branch2c                                                                0.138335s
 res2a                                                                           0.029401s
 res2a_relu                                                                      0.024255s
 res2a_res2a_relu_0_split                                                        0.574862s
 res2b_branch2a                                                                  0.243099s
 bn2b_branch2a                                                                   0.109947s
 scale2b_branch2a                                                                0.066005s
 res2b_branch2a_relu                                                             0.006119s
 res2b_branch2b                                                                  0.689507s
 bn2b_branch2b                                                                   0.110061s
 scale2b_branch2b                                                                0.066113s
 res2b_branch2b_relu                                                             0.006116s
 res2b_branch2c                                                                  0.210061s
 bn2b_branch2c                                                                   0.429525s
 scale2b_branch2c                                                                0.138544s
 res2b                                                                           0.029879s
 res2b_relu                                                                      0.024386s
 res2b_res2b_relu_0_split                                                        0.574786s
 res2c_branch2a                                                                  0.242009s
 bn2c_branch2a                                                                   0.11013s
 scale2c_branch2a                                                                0.066044s
 res2c_branch2a_relu                                                             0.006199s
 res2c_branch2b                                                                  0.697454s
 bn2c_branch2b                                                                   0.110042s
 scale2c_branch2b                                                                0.065799s
 res2c_branch2b_relu                                                             0.00614s
 res2c_branch2c                                                                  0.21198s
 bn2c_branch2c                                                                   0.427343s
 scale2c_branch2c                                                                0.138632s
 res2c                                                                           0.029757s
 res2c_relu                                                                      0.024263s
 res2c_res2c_relu_0_split                                                        0.610446s
 res3a_branch1                                                                   0.163074s
 bn3a_branch1                                                                    0.241456s
 scale3a_branch1                                                                 0.067577s
 res3a_branch2a                                                                  0.130156s
 bn3a_branch2a                                                                   0.061701s
 scale3a_branch2a                                                                0.028567s
 res3a_branch2a_relu                                                             0.003148s
 res3a_branch2b                                                                  0.367921s
 bn3a_branch2b                                                                   0.061733s
 scale3a_branch2b                                                                0.028805s
 res3a_branch2b_relu                                                             0.003123s
 res3a_branch2c                                                                  0.099071s
 bn3a_branch2c                                                                   0.239087s
 scale3a_branch2c                                                                0.06752s
 res3a                                                                           0.014398s
 res3a_relu                                                                      0.01222s
 res3a_res3a_relu_0_split                                                        0.208067s
 res3b_branch2a                                                                  0.148095s
 bn3b_branch2a                                                                   0.06199s
 scale3b_branch2a                                                                0.028613s
 res3b_branch2a_relu                                                             0.003127s
