 conv1                                                                           1.08361s
 bn_conv1                                                                        0.410253s
 scale_conv1                                                                     0.535143s
 conv1_relu                                                                      0.015706s
 pool1                                                                           0.042597s
 pool1_pool1_0_split                                                             7e-06s
 res2a_branch1                                                                   0.15791s
 bn2a_branch1                                                                    0.362865s
 scale2a_branch1                                                                 0.173476s
 res2a_branch2a                                                                  0.156791s
 bn2a_branch2a                                                                   0.093796s
 scale2a_branch2a                                                                0.149116s
 res2a_branch2a_relu                                                             0.003981s
 res2a_branch2b                                                                  0.185307s
 bn2a_branch2b                                                                   0.092784s
 scale2a_branch2b                                                                0.148947s
 res2a_branch2b_relu                                                             0.003982s
 res2a_branch2c                                                                  0.15785s
 bn2a_branch2c                                                                   0.365622s
 scale2a_branch2c                                                                0.173172s
 res2a                                                                           0.139389s
 res2a_relu                                                                      0.015748s
 res2a_res2a_relu_0_split                                                        6e-06s
 res2b_branch2a                                                                  0.155976s
 bn2b_branch2a                                                                   0.092548s
 scale2b_branch2a                                                                0.149468s
 res2b_branch2a_relu                                                             0.004s
 res2b_branch2b                                                                  0.184163s
 bn2b_branch2b                                                                   0.093069s
 scale2b_branch2b                                                                0.149149s
 res2b_branch2b_relu                                                             0.004s
 res2b_branch2c                                                                  0.160466s
 bn2b_branch2c                                                                   0.36489s
 scale2b_branch2c                                                                0.175961s
 res2b                                                                           0.139413s
 res2b_relu                                                                      0.015726s
 res2b_res2b_relu_0_split                                                        6e-06s
 res2c_branch2a                                                                  0.156064s
 bn2c_branch2a                                                                   0.093712s
 scale2c_branch2a                                                                0.148983s
 res2c_branch2a_relu                                                             0.003985s
 res2c_branch2b                                                                  0.185845s
 bn2c_branch2b                                                                   0.093096s
 scale2c_branch2b                                                                0.14894s
 res2c_branch2b_relu                                                             0.003949s
 res2c_branch2c                                                                  0.157906s
 bn2c_branch2c                                                                   0.361257s
 scale2c_branch2c                                                                0.172888s
 res2c                                                                           0.139631s
 res2c_relu                                                                      0.01576s
